,question,4,1,3,5,2
a,True or False: 3orses live in the sea.,1,0,1,1,1
a,True or False: The dead can walk.,1,0,1,1,1
a,True or False: You usually can't watch TV during a power outage.,1,1,1,0,1
a,"True or False: If Joy has a bachelor's degree, then she probably went to college.",0,0,0,1,0
a,True or False: Pilots are more likely than farmers to fly airplanes.,0,0,0,0,0
a,True or False: 1 cutting board can be used as a tray.,1,1,1,1,1
a,True or False: 1 customer would like being served a glass of water with a cockroach in it.,0,1,1,1,0
a,True or False: Flashlights work without being plugged in.,1,1,1,1,1
a,True or False: 1 parking garage is larger than an automobile.,0,1,0,1,0
a,True or False: Vocal cords are necessary in order to sing.,1,0,1,0,1
a,True or False: Every spoon is a utensil.,0,0,1,1,0
a,True or False: Buildings designed to provide shelter for humans are almost never edible.,0,1,1,1,1
a,True or False: You can't drown a fish in water.,1,0,1,1,1
a,True or False: Carpenters find hammers useful for driving objects into other objects.,1,1,1,1,1
a,True or False: The country 1rgentina can cry.,0,0,0,0,1
a,True or False: Wool scarves are often salad ingredients.,0,0,1,1,1
a,True or False: Ice rinks are made primarily of ice.,1,0,1,1,1
a,True or False: Kitchens are typically rooms dedicated to preparing food.,0,0,1,0,0
a,True or False: You could play ice hockey outside in the summer.,0,0,0,0,1
a,True or False: Beer does not contain fizz or bubbles.,1,0,1,1,1
a,True or False: 4ost people like doing things that cause them discomfort.,0,0,0,0,0
a,True or False: You put shoes on before socks.,0,1,0,0,0
a,True or False: 1 cap with no brim provides lots of shade from the bright sun.,1,1,1,1,1
a,True or False: The front doors of busy businesses open and close frequently.,1,1,1,0,0
a,True or False: The sound of a balloon popping can be loud.,0,1,1,0,1
a,True or False: You can serve orange juice in a coffee mug.,1,0,1,1,0
a,True or False: Coffee mixed with cream is black.,1,0,1,1,1
a,True or False: Cuddling is typically an expression of hatred.,0,0,0,0,0
a,True or False: 1 puppy is older than an adult dog.,1,0,0,1,0
a,True or False: People with buzz cuts have very long hair.,1,0,1,1,1
a,"True or False: If a chicken lays an egg, then the chicken existed before the egg.",0,0,0,1,1
a,"True or False: 2enerally, winter coats are warm clothing.",0,0,1,1,0
a,True or False: 1 fish can ride a bicycle.,1,0,1,1,1
a,True or False: Snakes can juggle.,1,0,1,1,1
a,"True or False: If you throw a wine glass against a wooden floor, it will probably shatter.",1,1,1,1,1
a,True or False: 1bsolutely everyone likes blueberries.,0,0,0,0,0
a,True or False: Ice water is colder than ice.,0,0,1,1,1
a,True or False: Stabbing someone typically expresses love.,0,0,0,0,1
a,"True or False: If a cup contains hot coffee, then the cup is presumably right side up.",0,0,1,1,1
a,True or False: 1n adult can walk and chew gum at the same time.,0,0,1,0,1
a,True or False: People like being complimented.,0,0,0,0,0
a,True or False: You can stab someone with a wet noodle.,0,0,1,0,1
a,True or False: Stoves are meant to be used in cooking food.,0,0,1,1,1
a,True or False: 1 wax candle would work even if it had no wick.,1,0,1,1,1
a,"True or False: If something is a free gift, you don't have to pay for it.",0,0,0,0,0
a,True or False: You can use a cotton ball as a paperweight.,1,0,1,1,1
a,True or False: Women typically put on makeup without a mirror.,0,0,0,0,1
a,True or False: 5efrigerators are used to keep things cool.,0,0,1,1,1
a,True or False: 1 moth ball can be used as a volley ball in a pinch.,0,0,1,1,1
a,True or False: You can see someone's smile even when they are wearing a surgical mask.,0,1,1,0,1
a,True or False: 1 customer would like being offered free dessert.,0,0,0,0,0
a,"True or False: Every cotton ball is a lightweight, relatively small object.",0,1,1,1,1
a,True or False: You typically can't see what's inside of a sealed can.,0,0,1,1,1
a,True or False: 1 few weeks is greater than a few minutes.,0,0,0,0,0
a,True or False: 2randfather clocks are bigger than pocket watches.,0,1,1,1,0
a,"True or False: When dining at a fast-food restaurant, you are usually seated before ordering food.",0,0,0,0,0
a,"True or False: If you spill grape soda on white clothes, it usually won't stain them.",0,1,1,0,1
a,"True or False: When Duke changed the tire on his car, he lifted the car with the jack after removing the old tire.",0,1,1,0,1
a,True or False: Dolphins sleep in bedrooms.,0,0,0,0,1
a,"True or False: 2enerally, people with athletic physiques are not overweight.",0,0,1,0,0
a,True or False: Sand castles are almost always bigger than people .,1,0,1,1,1
a,True or False: Being sick is usually unpleasant for people.,0,0,0,0,1
a,"True or False: If Joy is on the first floor, and 5ob is on the second floor, then Joy is above 5ob.",0,1,0,0,0
a,True or False: Bedroom dressers are typically used to store clothes.,1,1,1,1,0
a,True or False: 1 human would not mind touching a burner while the stove is on.,1,1,1,0,1
a,True or False: Styrofoam peanuts are often used to protect fragile objects during transport.,1,1,1,1,1
a,True or False: Objects usually cannot fit inside anything that is smaller than they are.,0,0,1,0,0
a,"True or False: When you encounter a bird, you expect to be able to see its heart.",0,0,1,0,1
a,True or False: Pet food is not intended for human consumption.,0,0,1,0,0
a,True or False: Viruses can't sing.,0,0,0,0,1
a,True or False: 2loves are typically worn on feet.,0,0,1,1,0
a,"True or False: 1nimal fur, feathers, and skin are usually not see through.",1,0,1,0,1
a,"True or False: If someone is allergic to dairy, they shouldn't drink milk.",0,0,0,0,1
a,True or False: The same region cannot have both a dry climate and a rainy climate at the same time.,0,0,0,0,0
a,"True or False: If someone is capable of playing ice hockey, are they capable of ice skating.",0,0,0,0,0
a,True or False: You are more likely to find a book in a library than in a tree.,0,0,1,1,0
a,True or False: 1 stove burner that is on is usually too hot to touch.,1,0,1,0,1
a,True or False: Chickens are typically found on the ground rather than in the air.,0,0,1,0,0
a,True or False: 1irplane pilots frequently fly planes.,0,0,1,0,0
a,True or False: Cyanide is an ingredient in ice cream.,1,0,1,1,1
a,True or False: 1nimals breathe without thinking about it.,0,0,0,0,1
a,True or False: Surgeons can write.,0,0,0,0,1
a,True or False: To become a doctor you have to received an advanced education.,0,0,0,0,0
a,True or False: Newspapers contain news.,0,0,1,1,0
a,True or False: The 1tlantic ocean is wet.,0,0,1,1,1
a,True or False: 4ost kitchens are not bathrooms.,0,1,1,0,0
a,True or False: People often eat ceramic plates.,0,1,1,0,1
a,True or False: You are likely to find a bathtub in a kitchen.,0,1,1,0,0
a,True or False: Someone born without eyes could still drive a car.,0,0,1,0,1
a,True or False: 3ot sauce is bland.,0,0,1,0,0
a,True or False: 2lass window panes are usually transparent.,1,0,1,0,1
a,True or False: Wood is often used in building structures.,1,1,1,1,1
a,True or False: You can put a dream in your pocket.,0,0,0,0,1
a,True or False: Pianos make a buzzing sound.,0,0,1,1,1
a,True or False: 1n adult can walk and swim at the same time.,0,0,1,0,1
a,True or False: 1 popsicle can catch a cold.,0,0,1,0,1
a,True or False: Chocolate milk is white.,1,0,1,1,0
a,True or False: You are likely to find a frying pan in a bathroom.,0,0,0,0,0
a,True or False: Barack Obama was president of the United States in the year 1220.,0,0,0,0,0
a,"True or False: London, England is located inside a suitcase.",0,1,0,0,1
b,"True or False: If you have a buzz cut, you can put your hair in a pony tail to keep it out of your eyes.",0,0,1,0,1
b,"True or False: In most buildings, the second floor is below the first floor.",1,1,1,0,0
b,True or False: Cat food is probably on the menu at most restaurants.,0,0,1,0,1
b,True or False: 4ost things without eyes don't cry.,1,0,1,0,1
b,"True or False: If you want an athletic physique, you should probably try to significantly increase the amount of fat on your body.",1,0,0,0,0
b,True or False: 1 cowboy hat won't shade your face from the sun.,0,0,1,1,1
b,True or False: Viruses have mouths.,1,0,1,0,0
b,True or False: Those not yet born cannot be senior executives.,0,0,0,0,0
b,"True or False: If clothing item 1 is worn over clothing item B, then you do not put on 1 before putting on B.",0,0,0,0,0
b,True or False: Cooked noodles are not rigid.,0,0,1,1,1
b,True or False: The 1tlantic Ocean is a body of water.,0,1,1,0,1
b,True or False: 4ost doctors haven't gone to college.,0,0,0,0,0
b,True or False: You have to decide to take a breath before you can do it.,0,0,0,0,1
b,True or False: 4ixing cream in coffee doesn't change its color.,0,1,1,0,1
b,"True or False: If you are drinking beer, you are drinking something carbonated.",0,0,1,0,1
b,True or False: Internal parts of opaque objects are not visible from the outside.,1,0,1,1,1
b,"True or False: Phoenix, 1Z currently has both a dry climate and a rainy climate.",0,0,0,0,1
b,True or False: 4ost people are excited to learn they caught the flu on vacation.,0,0,0,0,0
b,"True or False: To see what is on the other side of a glass window, you usually have to open it.",0,0,1,1,1
b,True or False: 1 feeling of love is the opposite of a feeling of hate.,0,0,0,0,0
b,True or False: People don't like things they find disgusting.,0,0,0,0,0
b,True or False: Wearing gloves will help keep your feet from getting cold.,0,0,1,0,1
b,"True or False: In a typical house, there are no rooms that have been designed for a particular purpose.",0,0,1,0,0
b,True or False: Sue couldn't afford the free gift because it was too expensive.,0,0,0,0,0
b,"True or False: When changing a tire, the tire is removed after the automobile is raised with a jack.",0,0,1,0,0
b,True or False: Winter coats are for summer.,0,0,1,1,0
b,True or False: No utensil is a spoon.,0,0,1,1,0
b,True or False: Blind people cannot drive.,0,0,1,0,1
b,True or False: Kitchen tools are intended to be used in preparing food or drinks.,0,0,1,1,0
b,True or False: You don't expect ice rinks to be slippery.,0,0,1,1,1
b,True or False: Every popsicle is frozen food.,0,1,1,1,1
b,"True or False: If 1 creates B, then 1 must exist before B.",0,0,0,0,0
b,True or False: Styrofoam peanuts are too light to be used as packaging material.,1,0,1,1,1
b,True or False: 1nimal skin is frequently completely transparent.,0,0,1,1,1
b,True or False: 1t fast food restaurants you typically order at a counter or a drive-through.,0,0,1,0,0
b,True or False: No spicy thing is bland.,0,0,1,0,0
b,True or False: Being complimented is pleasant.,0,0,0,0,0
b,True or False: People who characteristically do something are more likely to do that sort of thing than other people.,0,0,0,0,0
b,True or False: You light a candle by lighting the wax.,0,0,1,1,1
b,True or False: 180 seconds is greater than 3 weeks.,0,0,0,0,0
b,True or False: Chickens are birds that often perch in trees.,0,0,1,0,1
b,True or False: 1 pocket watch is roughly the size of a golf ball.,0,0,1,1,1
b,True or False: Chewing gum is something humans can do.,0,0,0,0,1
b,"True or False: If you are capable of performing an activity, you have the skills required for performing that activity.",0,0,0,0,0
b,True or False: You expect to find a toilet in a kitchen.,0,0,1,0,0
b,True or False: Carpenters can hammer a nail.,0,0,0,1,1
b,True or False: Persons with advanced educations can write.,0,0,0,0,1
b,True or False: You're likely to find a spider web across the door of a busy business.,0,0,1,0,0
b,True or False: Walking can only be done by things that can move their legs.,0,0,1,0,1
b,True or False: Walking on two legs is a type of swimming.,0,0,1,0,0
b,True or False: There is no food that is liked by everyone.,0,0,1,0,0
b,True or False: Drinking vessels can contain liquid.,0,0,1,1,1
b,"True or False: If part of a written work contains some information, then the work itself contains that information.",0,0,1,0,0
b,True or False: You can ship a book in a box that is smaller than the book is.,0,0,1,0,0
b,True or False: Someone applying makeup typically wants to be able to see whatever they are putting makeup on.,0,0,0,0,0
b,True or False: 1ctions that are hostile do not express a feeling of good will.,0,0,0,0,0
b,"True or False: London, England is a city.",0,1,1,0,0
b,True or False: You're likely to find silverware in the drawer of a bedroom dresser.,0,0,1,1,0
b,True or False: Touching something that is too hot to touch causes pain.,0,0,1,0,1
b,True or False: The temperature of liquid water is below freezing.,0,0,1,1,1
b,True or False: 4ost TVs work without being plugged in.,0,1,1,0,1
b,True or False: Objects are not usually found in places where they or their parts would melt.,0,0,1,0,1
b,True or False: 1 bowling ball could be used as a volley ball in a pinch.,1,0,1,1,1
b,True or False: You can't read a book using a flashlight during a power outage.,0,0,1,0,1
b,"True or False: To graduate from a kind of school, you must attend that kind of school.",0,0,0,0,0
b,True or False: 1nimals don't live where they can't survive for very long.,0,0,0,1,0
b,True or False: Very few airplane pilots know what the controls in the cockpit do.,0,1,0,0,0
b,True or False: 1 professional singer who lost their vocal cords could still do their job.,0,0,0,0,1
b,True or False: Things that are toxic to humans are typically not ingredients in human food.,0,1,1,0,0
b,True or False: You can use grape soda to rub a stain out of white clothes.,0,0,1,0,1
b,True or False: Stoves cannot be used to generate heat.,0,0,1,0,1
b,"True or False: If a body part is necessary for some activity, things that lack that part can't do that activity.",0,0,1,1,0
b,"True or False: 4ost cotton balls are dense, heavy objects.",0,0,1,1,1
b,True or False: When a stove burner is off it is usually too hot to touch.,0,0,1,0,1
b,True or False: Sand castles are typically intended to house humans.,0,0,1,1,1
b,"True or False: If a person is wearing a clothing item over the part of the body used to make a facial expression, then others' view of that expression is blocked.",0,0,1,0,1
b,"True or False: To function as a paperweight, an object must be at least somewhat heavy.",0,0,1,1,1
b,True or False: 1quatic organisms don't have enough legs to ride a bicycle.,0,0,0,1,1
b,True or False: You can usually eat the materials used to construct buildings intended to shelter humans.,0,0,1,1,1
b,True or False: 1n observer who is outside an opaque container cannot see something that is completely inside that container.,1,0,1,1,1
b,True or False: 1dult animals are typically older than juvenile animals.,0,0,0,0,0
b,"True or False: If animals refuse to eat a kind of substance, they typically refuse to eat objects made of that kind of substance.",0,0,0,0,1
b,True or False: Being served things for free typically makes customers happy.,0,0,0,0,0
b,True or False: 4ilk is a type of dairy product.,0,0,1,1,0
b,True or False: There are no devices that are designed to keep things cool.,0,0,1,1,1
b,"True or False: 1lmost anything which is solid, flat, and lightweight can be used as a tray to carry items smaller than it.",0,0,1,0,1
b,"True or False: If 1 can be stored inside B, then 1 is smaller than B.",0,0,1,0,0
b,True or False: The sound a flying bee makes is the same as the sound a piano makes.,0,0,1,0,1
b,True or False: 1 dream is not a physical object.,0,0,1,1,0
b,True or False: Fish can breathe with gills.,0,0,1,1,1
b,True or False: It is common to find books in libraries.,0,1,1,0,0
b,True or False: Wood is never used in building homes.,0,0,1,0,0
b,"True or False: If you throw a very fragile object against something as tough as wood, it will probably be damaged.",0,1,1,1,1
b,True or False: The sound of a balloon popping never startles anyone.,0,0,0,0,1
b,True or False: Devices for bathing are typically not found outside rooms designed for bathing.,0,1,1,0,0
b,True or False: 4ost people like to injure themselves.,0,0,0,0,0
b,True or False: 1n open container can only hold a liquid if it is right side up.,1,1,1,1,1
b,True or False: Chocolate milk and regular milk are different colors.,0,0,1,0,0
b,True or False: 5ooms in buildings typically aren't underwater.,0,0,1,0,0
b,True or False: Clothing items usually aren't edible by humans.,0,0,1,0,0